"date","RT_ID","Focal","Neighbour","stand","Treatment","Repetition","BE_BoitEng_Hauteur_mm","SPUR_Squelette_Corrige_mm","SURF_Surface_Projetee_mm2","pair"
"1",1,"NEMESIS","NEMESIS","pure","C","1",35.21,1198.6840135,1355.07212510881,"NEMESIS;NEMESIS"
"1",10,"EL4X_120","Selcuklu-97","mixed","C","2",77.8644,2466.6568615,2250.31628186255,"EL4X_120;Selcuklu-97"
"1",100,"LLOYD","ANVERGUR","mixed","C","3",221.48096,2406.3871165,2650.5792147892,"LLOYD;ANVERGUR"
"1",101,"CHAM-1_DP136","CHAM-1_DP136","pure","C","3",357.61288,2756.9775055,2727.06312473274,"CHAM-1_DP136;CHAM-1_DP136"
"1",105,"LLOYD","ANVERGUR","mixed","C","1",75.2488,1987.362783,1876.20269365084,"LLOYD;ANVERGUR"
"1",106,"NOBILIS","NOBILIS","pure","C","1",64.26328,2011.5989145,1760.14579200936,"NOBILIS;NOBILIS"
"1",107,"BOLIDO-DP034","EL4X_194","mixed","C","1",86.9184,2432.418517,2419.45204133757,"BOLIDO-DP034;EL4X_194"
"1",108,"PLUSSUR","MIKI-1_DP161","mixed","C","1",127.48032,2470.033677,2278.84998200321,"PLUSSUR;MIKI-1_DP161"
"1",109,"MURANO","ANTALIS","mixed","C","1",90.21808,2273.408977,2468.39801643319,"MURANO;ANTALIS"
"1",11,"ORJAUNE","KOFA","mixed","C","2",51.78888,2157.656871,2029.30023708983,"ORJAUNE;KOFA"
"1",110,"RAMIREZ","RAMIREZ","pure","C","1",75.2488,2499.7411045,2515.78730890603,"RAMIREZ;RAMIREZ"
"1",111,"LAHAN","LAHAN","pure","C","1",203.17176,2327.950959,2295.21524755741,"LAHAN;LAHAN"
"1",112,"MIKI-1_DP161","EL4X_464","mixed","C","1",110.57952,2449.25985,2578.57350802454,"MIKI-1_DP161;EL4X_464"
"1",113,"MURANO","MURANO","pure","C","2",109.4528,2209.805161,2299.8140388268,"MURANO;MURANO"
"1",114,"LAHAN","EL4X_464","mixed","C","2",162.00624,2236.7769405,2175.30500829689,"LAHAN;EL4X_464"
"1",116,"EL4X_316","EL4X_316","pure","C","2",157.25792,2228.7409745,2157.04322095579,"EL4X_316;EL4X_316"
"1",117,"ANTALIS","ANTALIS","pure","C","2",47.72464,2247.2065985,2038.18721394096,"ANTALIS;ANTALIS"
"1",118,"SVEVO","SVEVO","pure","C","2",93.67872,2820.4958325,2955.80594275864,"SVEVO;SVEVO"
"1",119,"RAMIREZ","RAMIREZ","pure","C","2",59.11256,2285.3346925,2267.32102971484,"RAMIREZ;RAMIREZ"
"1",12,"NOBILIS","LLOYD","mixed","C","2",88.64872,1422.7506825,1443.87063702124,"NOBILIS;LLOYD"
"1",120,"CHAM-1_DP136","CHAM-1_DP136","pure","C","2",125.9512,2064.730328,1885.8826285516,"CHAM-1_DP136;CHAM-1_DP136"
"1",121,"ASTERIX","NEMESIS","mixed","C","3",88.7292,1793.388242,1857.61385679158,"ASTERIX;NEMESIS"
"1",122,"Selcuklu-97","ANVERGUR","mixed","C","3",148.40512,2314.7429085,2337.55811115221,"Selcuklu-97;ANVERGUR"
"1",123,"COLOSSEO_DP087","KOFA","mixed","C","3",230.01184,2483.3272165,2548.4557188769,"COLOSSEO_DP087;KOFA"
"1",124,"EL4X_35","EL4X_35","pure","C","3",91.26432,2862.599165,3060.07261791567,"EL4X_35;EL4X_35"
"1",125,"GIUSTO","GIUSTO","pure","C","3",46.83936,2171.4206,2205.46847475153,"GIUSTO;GIUSTO"
"1",126,"LGBORIS","NEMESIS","mixed","C","3",71.54672,2385.485056,2263.62482203189,"LGBORIS;NEMESIS"
"1",127,"NOBILIS","LLOYD","mixed","C","3",55.41048,1708.497665,1824.96371774351,"NOBILIS;LLOYD"
"1",128,"COLOSSEO_DP087","COLOSSEO_DP087","pure","C","3",69.6152,3283.119556,3159.28007454868,"COLOSSEO_DP087;COLOSSEO_DP087"
"1",13,"GIUSTO","CASANOVA","mixed","C","2",89.61448,2059.8147105,2077.14447554045,"GIUSTO;CASANOVA"
"1",131,"ORJAUNE","ORJAUNE","pure","C","1",81.60672,2063.533482,2100.69569503288,"ORJAUNE;ORJAUNE"
"1",132,"SVEVO","EL4X_428","mixed","C","1",141.88624,2274.4775895,2380.98261337691,"SVEVO;EL4X_428"
"1",133,"AVENTUR","EL4X_194","mixed","C","1",145.42736,2894.3583285,2721.12872900649,"AVENTUR;EL4X_194"
"1",135,"EL4X_120","Selcuklu-97","mixed","C","1",161.40264,2688.4153275,2835.59606036415,"EL4X_120;Selcuklu-97"
"1",136,"LGBORIS","EL4X_35","mixed","C","1",80.48,2574.1165345,2559.96274605792,"LGBORIS;EL4X_35"
"1",137,"ACADUR","ARDENTE","mixed","C","1",34.68688,1787.831457,1748.7721425648,"ACADUR;ARDENTE"
"1",138,"NOBILIS","EL4X_316","mixed","C","1",142.93248,2974.418777,2973.84482484155,"NOBILIS;EL4X_316"
"1",139,"NOBILIS","EL4X_316","mixed","C","2",131.86648,2184.3721835,2221.2728229757,"NOBILIS;EL4X_316"
"1",14,"BOLIDO-DP034","BOLIDO-DP034","pure","C","2",42.37272,2130.38588,2066.48704626976,"BOLIDO-DP034;BOLIDO-DP034"
"1",140,"MIKI-1_DP161","MIKI-1_DP161","pure","C","2",63.41824,3789.72737,3422.96420534208,"MIKI-1_DP161;MIKI-1_DP161"
"1",141,"COLOSSEO_DP087","KOFA","mixed","C","2",161.12096,2728.637902,2689.43781340555,"COLOSSEO_DP087;KOFA"
"1",142,"FURIO_CAMILLO","EL4X_428","mixed","C","2",97.30032,2097.558104,1961.95726982437,"FURIO_CAMILLO;EL4X_428"
"1",143,"FURIO_CAMILLO","ACADUR","mixed","C","2",85.67096,2876.8330835,2857.29095409984,"FURIO_CAMILLO;ACADUR"
"1",144,"SVEVO","ARDENTE","mixed","C","2",64.82664,2320.085971,2030.41659047306,"SVEVO;ARDENTE"
"1",146,"LLOYD","LLOYD","pure","C","2",75.12808,2521.2843325,2490.89134949535,"LLOYD;LLOYD"
"1",147,"MURANO","MURANO","pure","C","3",237.77816,2503.459876,2592.69145007404,"MURANO;MURANO"
"1",148,"RAMIREZ","ANTALIS","mixed","C","3",65.22904,2504.485744,2495.34031919776,"RAMIREZ;ANTALIS"
"1",149,"EL4X_194","EL4X_194","pure","C","3",92.18984,1914.782622,1979.87739090907,"EL4X_194;EL4X_194"
"1",15,"MURANO","QUALIDOU","mixed","C","2",68.16656,1615.1864215,1576.64177884245,"MURANO;QUALIDOU"
"1",150,"GIUSTO","BOLIDO-DP034","mixed","C","3",47.20152,2543.9389175,2283.82880846689,"GIUSTO;BOLIDO-DP034"
"1",151,"AVENTUR","EL4X_194","mixed","C","3",71.66744,1902.5149505,1824.14518040196,"AVENTUR;EL4X_194"
"1",152,"COLOSSEO_DP087","QUALIDOU","mixed","C","3",42.8556,2302.646215,2335.84247150105,"COLOSSEO_DP087;QUALIDOU"
"1",153,"ASTERIX","ASTERIX","pure","C","3",50.42072,2707.9923085,2714.48907566006,"ASTERIX;ASTERIX"
"1",154,"RAMIREZ","LGBORIS","mixed","C","3",159.5516,2435.068676,2488.12695887533,"RAMIREZ;LGBORIS"
"1",157,"LAHAN","EL4X_464","mixed","C","1",107.27984,1739.7438945,1565.5823892701,"LAHAN;EL4X_464"
"1",158,"COLOSSEO_DP087","AZEGHAR-2_DP128","mixed","C","1",78.58872,2415.1069945,2337.78649768724,"COLOSSEO_DP087;AZEGHAR-2_DP128"
"1",159,"LGBORIS","NEMESIS","mixed","C","1",80.48,2317.350323,2272.50266342163,"LGBORIS;NEMESIS"
"1",16,"LAHAN","BOLIDO-DP034","mixed","C","2",89.29256,2343.1252565,2214.62037998331,"LAHAN;BOLIDO-DP034"
"1",160,"ASTERIX","NEMESIS","mixed","C","1",82.41152,2346.4593275,2256.80794073428,"ASTERIX;NEMESIS"
"1",161,"ACADUR","ACADUR","pure","C","1",50.66216,1698.8801525,1564.44776496406,"ACADUR;ACADUR"
"1",162,"ASTERIX","MIKI-1_DP161","mixed","C","1",70.70168,2346.8012835,2374.94407339068,"ASTERIX;MIKI-1_DP161"
"1",163,"LAHAN","BOLIDO-DP034","mixed","C","1",64.26328,2665.290553,2476.46097466593,"LAHAN;BOLIDO-DP034"
"1",164,"MONASTIR","BALSAMO","mixed","C","1",93.67872,2342.740556,2317.58251125223,"MONASTIR;BALSAMO"
"1",165,"L2574","CASANOVA","mixed","C","2",35.93432,1951.4146585,1832.2081386347,"L2574;CASANOVA"
"1",167,"LAHAN","LAHAN","pure","C","2",231.21904,2203.6926975,2251.61351738153,"LAHAN;LAHAN"
"1",168,"EL4X_120","CHAM-1_DP136","mixed","C","2",471.08968,2993.311846,3122.58109900758,"EL4X_120;CHAM-1_DP136"
"1",169,"GIUSTO","BOLIDO-DP034","mixed","C","2",35.53192,2364.711229,2253.55571647543,"GIUSTO;BOLIDO-DP034"
"1",17,"FURIO_CAMILLO","FURIO_CAMILLO","pure","C","3",75.89264,2227.4586395,2204.83447373029,"FURIO_CAMILLO;FURIO_CAMILLO"
"1",170,"BALSAMO","ARDENTE","mixed","C","2",96.13336,2664.521152,2523.94162175279,"BALSAMO;ARDENTE"
"1",171,"ACADUR","ACADUR","pure","C","2",65.39,2625.5809125,2506.26084975681,"ACADUR;ACADUR"
"1",172,"COLOSSEO_DP087","COLOSSEO_DP087","pure","C","2",117.86296,2642.977924,2172.61552846036,"COLOSSEO_DP087;COLOSSEO_DP087"
"1",173,"EL4X_120","CHAM-1_DP136","mixed","C","3",184.37968,3017.077788,3306.20752735727,"EL4X_120;CHAM-1_DP136"
"1",174,"PLUSSUR","PLUSSUR","pure","C","3",67.28128,2257.080578,1971.36496797538,"PLUSSUR;PLUSSUR"
"1",175,"NOBILIS","NOBILIS","pure","C","3",67.08008,2126.4961305,2089.7861270275,"NOBILIS;NOBILIS"
"1",176,"ORJAUNE","ORJAUNE","pure","C","3",134.2004,2347.271473,2461.43862193772,"ORJAUNE;ORJAUNE"
"1",177,"EL4X_316","ORJAUNE","mixed","C","3",178.6656,2525.4732935,2648.66076789493,"EL4X_316;ORJAUNE"
"1",178,"AZEGHAR-2_DP128","KOFA","mixed","C","3",91.50576,2359.239933,2471.95353801056,"AZEGHAR-2_DP128;KOFA"
"1",18,"EL4X_120","EL4X_120","pure","C","3",247.23456,2701.1531885,2872.51976825573,"EL4X_120;EL4X_120"
"1",180,"NEMESIS","NEMESIS","pure","C","3",82.00912,2153.040465,2095.78629807585,"NEMESIS;NEMESIS"
"1",183,"ACADUR","ANVERGUR","mixed","C","1",97.82344,2245.4968185,2215.35487107997,"ACADUR;ANVERGUR"
"1",184,"EL4X_316","EL4X_316","pure","C","1",245.98712,2468.751342,2537.18255950776,"EL4X_316;EL4X_316"
"1",185,"MONASTIR","EL4X_35","mixed","C","1",91.86792,2465.8874605,2301.1459890991,"MONASTIR;EL4X_35"
"1",186,"ARDENTE","ARDENTE","pure","C","1",46.4772,2335.730458,2366.83178366637,"ARDENTE;ARDENTE"
"1",187,"NOBILIS","LLOYD","mixed","C","1",89.09136,2600.147935,2421.78706527173,"NOBILIS;LLOYD"
"1",188,"BOLIDO-DP034","BOLIDO-DP034","pure","C","1",82.12984,2485.421697,2448.48636476302,"BOLIDO-DP034;BOLIDO-DP034"
"1",189,"COLOSSEO_DP087","QUALIDOU","mixed","C","1",236.69168,1953.8938395,1852.58204465177,"COLOSSEO_DP087;QUALIDOU"
"1",19,"KOFA","KOFA","pure","C","3",104.66424,2439.6423375,2838.98348945174,"KOFA;KOFA"
"1",190,"GIUSTO","ANTALIS","mixed","C","1",58.42848,1751.755099,1650.50563845612,"GIUSTO;ANTALIS"
"1",191,"LGBORIS","LGBORIS","pure","C","2",80.6812,2253.7892515,2259.17767942176,"LGBORIS;LGBORIS"
