"Num","Lot","Num_RT"
26,"Calib01","RT026"
52,"Calib01","RT052"
78,"Calib01","RT078"
104,"Calib01","RT104"
130,"Calib01","RT130"
182,"Calib01","RT182"
208,"Calib01","RT208"
234,"Calib01","RT234"
260,"Calib01","RT260"
338,"Calib01","RT338"
364,"Calib01","RT364"
416,"Calib01","RT416"
442,"Calib01","RT442"
468,"Calib01","RT468"
494,"Calib01","RT494"
520,"Calib01","RT520"
546,"Calib01","RT546"
572,"Calib01","RT572"
25,"Calib02","RT025"
51,"Calib02","RT051"
77,"Calib02","RT077"
103,"Calib02","RT103"
129,"Calib02","RT129"
156,"Calib02","RT156"
181,"Calib02","RT181"
286,"Calib02","RT286"
312,"Calib02","RT312"
337,"Calib02","RT337"
363,"Calib02","RT363"
390,"Calib02","RT390"
415,"Calib02","RT415"
441,"Calib02","RT441"
467,"Calib02","RT467"
493,"Calib02","RT493"
598,"Calib02","RT598"
624,"Calib02","RT624"
207,"Calib03","RT207"
233,"Calib03","RT233"
259,"Calib03","RT259"
285,"Calib03","RT285"
311,"Calib03","RT311"
519,"Calib03","RT519"
545,"Calib03","RT545"
571,"Calib03","RT571"
597,"Calib03","RT597"
623,"Calib03","RT623"
643,"Calib03","RT643"
644,"Calib03","RT644"
645,"Calib03","RT645"
646,"Calib03","RT646"
647,"Calib03","RT647"
648,"Calib03","RT648"
649,"Calib03","RT649"
650,"Calib03","RT650"
625,"Calib04","RT625"
626,"Calib04","RT626"
627,"Calib04","RT627"
628,"Calib04","RT628"
629,"Calib04","RT629"
630,"Calib04","RT630"
631,"Calib04","RT631"
632,"Calib04","RT632"
633,"Calib04","RT633"
634,"Calib04","RT634"
635,"Calib04","RT635"
636,"Calib04","RT636"
637,"Calib04","RT637"
638,"Calib04","RT638"
639,"Calib04","RT639"
640,"Calib04","RT640"
641,"Calib04","RT641"
642,"Calib04","RT642"
1,"Rec","RT 1"
2,"Rec","RT 2"
3,"Clim","RT 3"
4,"Rec","RT 4"
5,"Rec","RT 5"
6,"Clim","RT 6"
7,"Rec","RT 7"
8,"Rec","RT 8"
9,"Rec","RT 9"
10,"Rec","RT 10"
11,"Rec","RT 11"
12,"Rec","RT 12"
13,"Rec","RT 13"
14,"Rec","RT 14"
15,"Rec","RT 15"
16,"Rec","RT 16"
17,"Rec","RT 17"
18,"Rec","RT 18"
19,"Rec","RT 19"
20,"Rec","RT 20"
21,"Rec","RT 21"
22,"Rec","RT 22"
23,"Rec","RT 23"
24,"Rec","RT 24"
27,"Rec","RT 27"
28,"Rec","RT 28"
29,"Rec","RT 29"
30,"Rec","RT 30"
31,"Rec","RT 31"
32,"Rec","RT 32"
33,"Rec","RT 33"
34,"Rec","RT 34"
35,"Rec","RT 35"
36,"Clim","RT 36"
37,"Rec","RT 37"
38,"Rec","RT 38"
39,"Rec","RT 39"
40,"Rec","RT 40"
41,"Rec","RT 41"
42,"Rec","RT 42"
43,"Rec","RT 43"
44,"Rec","RT 44"
45,"Clim","RT 45"
46,"Rec","RT 46"
47,"Rec","RT 47"
48,"Rec","RT 48"
49,"Rec","RT 49"
50,"Rec","RT 50"
53,"Rec","RT 53"
54,"Clim","RT 54"
55,"Rec","RT 55"
56,"Rec","RT 56"
57,"Rec","RT 57"
58,"Rec","RT 58"
59,"Rec","RT 59"
60,"Rec","RT 60"
61,"Rec","RT 61"
62,"Rec","RT 62"
63,"Rec","RT 63"
64,"Rec","RT 64"
65,"Rec","RT 65"
66,"Rec","RT 66"
67,"Rec","RT 67"
68,"Rec","RT 68"
69,"Rec","RT 69"
70,"Rec","RT 70"
71,"Rec","RT 71"
