"","RT_ID","Plant_ID","Focal","Neighbour","stand","Treatment","Repetition","Sampling_ID","Leaf_nb_main_stem","Tiller_nb","Shoot_DW","Root_DW","Total_DW","Root_Shoot_Ratio","Comments"
"1",1,"A","NEMESIS","NEMESIS","pure","C",1,4,3,1,206.1,100.2,306.3,0.486171761280932,""
"2",1,"B","NEMESIS","NEMESIS","pure","C",1,4,4,2,269.6,107.4,377,0.398367952522255,""
"3",1,"C","NEMESIS","NEMESIS","pure","C",1,4,3,1,148.3,55.9,204.2,0.376938637896156,""
"4",1,"D","NEMESIS","NEMESIS","pure","C",1,4,3,1,179.5,68.5,248,0.381615598885794,""
"5",1,"E","NEMESIS","NEMESIS","pure","C",1,4,3,2,195.3,81.1,276.4,0.415258576548899,""
"6",1,"F","NEMESIS","NEMESIS","pure","C",1,4,3,1,215.4,90.3,305.7,0.419220055710306,""
"7",2,"A","NOBILIS","EL4X_428","mixed","C",1,4,4,3,344,139.9,483.9,0.406686046511628,""
"8",2,"B","EL4X_428","NOBILIS","mixed","C",1,4,4,1,89.3,40.6,129.9,0.45464725643897,""
"9",2,"C","NOBILIS","EL4X_428","mixed","C",1,4,5,2,315.4,117.6,433,0.37285986049461,""
"10",2,"D","EL4X_428","NOBILIS","mixed","C",1,4,4,1,135.5,77,212.5,0.568265682656827,""
"11",2,"E","NOBILIS","EL4X_428","mixed","C",1,4,5,2,267.1,76.9,344,0.28790715087982,""
"12",2,"F","EL4X_428","NOBILIS","mixed","C",1,4,4,1,152.1,60.8,212.9,0.39973701512163,""
"13",4,"A","L2574","QUALIDOU","mixed","C",1,4,4,2,284.5,115.1,399.6,0.404569420035149,""
"14",4,"B","QUALIDOU","L2574","mixed","C",1,4,5,2,297.7,134.1,431.8,0.45045347665435,""
"15",4,"C","L2574","QUALIDOU","mixed","C",1,4,5,3,339.9,133.3,473.2,0.392174168873198,""
"16",4,"D","QUALIDOU","L2574","mixed","C",1,4,5,2,294.1,115.1,409.2,0.391363481808909,""
"17",4,"E","L2574","QUALIDOU","mixed","C",1,4,5,3,341.3,148.6,489.9,0.435394081453267,""
"18",4,"F","QUALIDOU","L2574","mixed","C",1,4,5,1,253.6,92.2,345.8,0.363564668769716,""
"19",5,"A","ORJAUNE","KOFA","mixed","C",1,4,5,3,275.8,168.2,444,0.609862218999275,""
"20",5,"B","KOFA","ORJAUNE","mixed","C",1,4,5,3,285.2,117.6,402.8,0.41234221598878,""
"21",5,"C","ORJAUNE","KOFA","mixed","C",1,4,4,2,308.2,96.9,405.1,0.31440622972096,""
"22",5,"D","KOFA","ORJAUNE","mixed","C",1,4,4,2,291.5,115.6,407.1,0.396569468267581,""
"23",5,"E","ORJAUNE","KOFA","mixed","C",1,4,5,3,248.8,78.2,327,0.314308681672026,""
"24",5,"F","KOFA","ORJAUNE","mixed","C",1,4,5,3,301.7,113.8,415.5,0.377195889956911,""
"25",7,"A","MONASTIR","CHAM-1_DP136","mixed","C",1,4,5,2,291.5,164.6,456.1,0.564665523156089,""
"26",7,"B","CHAM-1_DP136","MONASTIR","mixed","C",1,4,5,3,261.1,102.7,363.8,0.393335886633474,""
"27",7,"C","MONASTIR","CHAM-1_DP136","mixed","C",1,4,4,2,271.1,137.9,409,0.508668388048691,""
"28",7,"D","CHAM-1_DP136","MONASTIR","mixed","C",1,4,6,3,333.2,85.3,418.5,0.256002400960384,""
"29",7,"E","MONASTIR","CHAM-1_DP136","mixed","C",1,4,5,3,251.6,187.4,439,0.74483306836248,""
"30",7,"F","CHAM-1_DP136","MONASTIR","mixed","C",1,4,8,3,329.3,97.3,426.6,0.29547525053143,""
"31",8,"A","PLUSSUR","PLUSSUR","pure","C",1,4,8,6,453.7,190.7,644.4,0.420321798545294,""
"32",8,"B","PLUSSUR","PLUSSUR","pure","C",1,4,7,5,372.4,183.1,555.5,0.491675617615467,""
"33",8,"C","PLUSSUR","PLUSSUR","pure","C",1,4,5,2,259.2,105.2,364.4,0.405864197530864,""
"34",8,"D","PLUSSUR","PLUSSUR","pure","C",1,4,6,4,350.7,140.1,490.8,0.399486740804106,""
"35",8,"E","PLUSSUR","PLUSSUR","pure","C",1,4,5,2,262.6,107,369.6,0.407463823305407,""
"36",8,"F","PLUSSUR","PLUSSUR","pure","C",1,4,6,4,384.2,168.7,552.9,0.4390942217595,""
"37",9,"A","MIKI-1_DP161","EL4X_464","mixed","C",2,4,5,2,333,158.8,491.8,0.476876876876877,""
"38",9,"B","EL4X_464","MIKI-1_DP161","mixed","C",2,4,4,2,458.2,182.6,640.8,0.398515931907464,""
"39",9,"C","MIKI-1_DP161","EL4X_464","mixed","C",2,4,5,1,222.6,82.2,304.8,0.369272237196765,""
"40",9,"D","EL4X_464","MIKI-1_DP161","mixed","C",2,4,4,3,351.9,124,475.9,0.352372833191248,""
"41",9,"E","MIKI-1_DP161","EL4X_464","mixed","C",2,4,5,0,100.4,44.2,144.6,0.440239043824701,""
"42",9,"F","EL4X_464","MIKI-1_DP161","mixed","C",2,4,5,3,347.3,122.7,470,0.353296861503023,""
"43",10,"A","EL4X_120","Selcuklu-97","mixed","C",2,4,6,2,316.4,176.7,493.1,0.558470290771176,""
"44",10,"B","Selcuklu-97","EL4X_120","mixed","C",2,4,6,4,411.7,146.3,558,0.355355841632257,""
"45",10,"C","EL4X_120","Selcuklu-97","mixed","C",2,4,4,1,249.6,134.1,383.7,0.537259615384615,""
