ABCDEF;BE_BoitEng_Hauteur_mm;BE_BoitEng_Hauteur_pixels;BE_BoitEng_Largeur_mm;BE_BoitEng_Largeur_pixels;BIOVOL_Volume_mm3;BIOVOL_Volume_pixels;CH_Surface_ConvexHull_mm2;CH_Surface_ConvexHull_pixels;SK_Squelette_Brut_mm;SK_Squelette_Brut_pixels;SPUR_Squelette_Corrige_Parametre_mm;SPUR_Squelette_Corrige_Parametre_pixels;SPUR_Squelette_Corrige_mm;SPUR_Squelette_Corrige_pixels;SURF3_Surface_Revolution_mm2;SURF3_Surface_Revolution_pixels;SURF_Surface_Projetee_mm2;SURF_Surface_Projetee_pixels;Segmentation;analysis_datetime;angle;coeff;coeff_x;coeff_y;datetime;dpi;expected_dpi;filepath;imgguid;overlapped_plants;plantid;plantname;presence;profil;stationid;studyid;studyname;subversion;taskid;version;view
A;107.60176;2674.0;179.54803199999998;3968.0;;;13474.993757348615;7375103.0;935.5916159999999;21888.0;2.0175404;47.2;622.5736425;14565.0;;;589.8822239555532;322853.0;totale;2020-06-29_09-10-05;;0.0427445;0.045249;0.04024;2019-06-28_07-56-23;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;016fe410-926e-4716-869e-f553107a3dc8;;284;PLAT012_U4L15R24_284_RHZ_5463_6 pl_EL4X464_ACE_EL4X464_BDF_WW_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
B;107.60176;2674.0;179.54803199999998;3968.0;;;13474.993757348615;7375103.0;935.5916159999999;21888.0;2.0175404;47.2;622.5736425;14565.0;;;589.8822239555532;322853.0;totale;2020-06-29_09-10-05;;0.0427445;0.045249;0.04024;2019-06-28_07-56-23;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;016fe410-926e-4716-869e-f553107a3dc8;;284;PLAT012_U4L15R24_284_RHZ_5463_6 pl_EL4X464_ACE_EL4X464_BDF_WW_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
C;65.71191999999999;1633.0;174.61589099999998;3859.0;;;7139.083539957996;3907347.0;569.100273;13314.0;2.0175404;47.2;407.8252745;9541.0;;;357.9767091925417;195927.0;totale;2020-06-29_09-10-05;;0.0427445;0.045249;0.04024;2019-06-28_07-56-23;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;016fe410-926e-4716-869e-f553107a3dc8;;284;PLAT012_U4L15R24_284_RHZ_5463_6 pl_EL4X464_ACE_EL4X464_BDF_WW_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
D;48.006319999999995;1193.0;195.204186;4314.0;;;5236.44830228878;2866001.0;668.353002;15636.0;2.0175404;47.2;450.14232949999996;10531.0;;;438.5843664126112;240045.0;totale;2020-06-29_09-10-05;;0.0427445;0.045249;0.04024;2019-06-28_07-56-23;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;016fe410-926e-4716-869e-f553107a3dc8;;284;PLAT012_U4L15R24_284_RHZ_5463_6 pl_EL4X464_ACE_EL4X464_BDF_WW_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
E;74.20255999999999;1844.0;198.100122;4378.0;;;8173.606941235189;4473560.0;788.892492;18456.0;2.0175404;47.2;484.380674;11332.0;;;506.33112107200094;277124.0;totale;2020-06-29_09-10-05;;0.0427445;0.045249;0.04024;2019-06-28_07-56-23;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;016fe410-926e-4716-869e-f553107a3dc8;;284;PLAT012_U4L15R24_284_RHZ_5463_6 pl_EL4X464_ACE_EL4X464_BDF_WW_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
F;23.339199999999998;580.0;189.548061;4189.0;;;2567.2966944708414;1405127.0;563.3297655;13179.0;2.0175404;47.2;371.8344055;8699.0;;;368.911856489838;201912.0;totale;2020-06-29_09-10-06;;0.0427445;0.045249;0.04024;2019-06-28_07-56-23;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;016fe410-926e-4716-869e-f553107a3dc8;;284;PLAT012_U4L15R24_284_RHZ_5463_6 pl_EL4X464_ACE_EL4X464_BDF_WW_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
A;38.59016;959.0;135.29451;2990.0;;;2053.3319818519562;1123825.0;562.9023205;13169.0;2.0175404;47.2;410.261711;9598.0;;;378.0454907988077;206911.0;totale;2020-06-29_09-10-06;;0.0427445;0.045249;0.04024;2019-06-28_06-57-45;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;017db2d1-8bd2-4f7a-89a6-7163e802a888;;187;PLAT012_U4L18R5_187_RHZ_5497_6 pl_NOBILIS_ACE_LLOYD_BDF_WW_Rep1_Rec_prel6;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
B;89.09136;2214.0;183.439446;4054.0;;;8616.86135551612;4716161.0;809.0678959999999;18928.0;2.0175404;47.2;528.065553;12354.0;;;497.0257400886877;272031.0;totale;2020-06-29_09-10-06;;0.0427445;0.045249;0.04024;2019-06-28_06-57-45;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;017db2d1-8bd2-4f7a-89a6-7163e802a888;;187;PLAT012_U4L18R5_187_RHZ_5497_6 pl_NOBILIS_ACE_LLOYD_BDF_WW_Rep1_Rec_prel6;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
C;42.73488;1062.0;155.158821;3429.0;;;3668.050363814817;2007589.0;452.322299;10582.0;2.0175404;47.2;360.33613499999996;8430.0;;;326.58909091012697;178748.0;totale;2020-06-29_09-10-06;;0.0427445;0.045249;0.04024;2019-06-28_06-57-45;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;017db2d1-8bd2-4f7a-89a6-7163e802a888;;187;PLAT012_U4L18R5_187_RHZ_5497_6 pl_NOBILIS_ACE_LLOYD_BDF_WW_Rep1_Rec_prel6;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
D;59.7564;1485.0;178.597803;3947.0;;;5882.358311018199;3219519.0;683.484555;15990.0;2.0175404;47.2;519.0037189999999;12142.0;;;454.7066286935372;248869.0;totale;2020-06-29_09-10-06;;0.0427445;0.045249;0.04024;2019-06-28_06-57-45;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;017db2d1-8bd2-4f7a-89a6-7163e802a888;;187;PLAT012_U4L18R5_187_RHZ_5497_6 pl_NOBILIS_ACE_LLOYD_BDF_WW_Rep1_Rec_prel6;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
E;81.64695999999999;2029.0;138.50718899999998;3061.0;;;6527.610566526729;3572677.0;809.1106404999999;18929.0;2.0175404;47.2;507.8474045;11881.0;;;474.729732992797;259828.0;totale;2020-06-29_09-10-06;;0.0427445;0.045249;0.04024;2019-06-28_06-57-45;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;017db2d1-8bd2-4f7a-89a6-7163e802a888;;187;PLAT012_U4L18R5_187_RHZ_5497_6 pl_NOBILIS_ACE_LLOYD_BDF_WW_Rep1_Rec_prel6;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
F;43.09704;1071.0;130.860108;2892.0;;;2545.490348106058;1393192.0;392.09529849999996;9173.0;2.0175404;47.2;274.63341249999996;6425.0;;;290.690381787775;159100.0;totale;2020-06-29_09-10-06;;0.0427445;0.045249;0.04024;2019-06-28_06-57-45;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;017db2d1-8bd2-4f7a-89a6-7163e802a888;;187;PLAT012_U4L18R5_187_RHZ_5497_6 pl_NOBILIS_ACE_LLOYD_BDF_WW_Rep1_Rec_prel6;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
A;47.080799999999996;1170.0;176.87834099999998;3909.0;;;4022.1317122658656;2201384.0;424.9230745;9941.0;2.0175404;47.2;306.563554;7172.0;;;323.72603730697523;177181.0;totale;2020-06-29_09-10-06;;0.0427445;0.045249;0.04024;2019-06-28_06-45-31;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;0189306f-8dbf-44e0-9e78-135a94eba128;;167;PLAT012_U4L19R11_167_RHZ_5162_6 pl_LAHAN_ACE_LAHAN_BDF_WW_Rep2_Rec_prel6;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
B;56.1348;1395.0;102.39848699999999;2263.0;;;2659.985085847924;1455857.0;368.32935649999996;8617.0;2.0175404;47.2;241.03623549999998;5639.0;;;244.10866410280124;133605.0;totale;2020-06-29_09-10-06;;0.0427445;0.045249;0.04024;2019-06-28_06-45-31;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;0189306f-8dbf-44e0-9e78-135a94eba128;;167;PLAT012_U4L19R11_167_RHZ_5162_6 pl_LAHAN_ACE_LAHAN_BDF_WW_Rep2_Rec_prel6;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
C;231.21903999999998;5746.0;169.774248;3752.0;;;30132.906509167788;16492274.0;2447.635559;57262.0;2.0175404;47.2;1468.5727865;34357.0;;;1506.943689627754;824777.0;totale;2020-06-29_09-10-06;;0.0427445;0.045249;0.04024;2019-06-28_06-45-31;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;0189306f-8dbf-44e0-9e78-135a94eba128;;167;PLAT012_U4L19R11_167_RHZ_5162_6 pl_LAHAN_ACE_LAHAN_BDF_WW_Rep2_Rec_prel6;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
D;231.21903999999998;5746.0;169.774248;3752.0;;;30132.906509167788;16492274.0;2447.635559;57262.0;2.0175404;47.2;1468.5727865;34357.0;;;1506.943689627754;824777.0;totale;2020-06-29_09-10-06;;0.0427445;0.045249;0.04024;2019-06-28_06-45-31;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;0189306f-8dbf-44e0-9e78-135a94eba128;;167;PLAT012_U4L19R11_167_RHZ_5162_6 pl_LAHAN_ACE_LAHAN_BDF_WW_Rep2_Rec_prel6;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
E;231.21903999999998;5746.0;169.774248;3752.0;;;30132.906509167788;16492274.0;2447.635559;57262.0;2.0175404;47.2;1468.5727865;34357.0;;;1506.943689627754;824777.0;totale;2020-06-29_09-10-06;;0.0427445;0.045249;0.04024;2019-06-28_06-45-31;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;0189306f-8dbf-44e0-9e78-135a94eba128;;167;PLAT012_U4L19R11_167_RHZ_5162_6 pl_LAHAN_ACE_LAHAN_BDF_WW_Rep2_Rec_prel6;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
F;20.80408;517.0;112.35326699999999;2483.0;;;1171.2885668230267;641067.0;291.3892565;6817.0;2.0175404;47.2;187.5201215;4387.0;;;176.83512634399622;96785.0;totale;2020-06-29_09-10-07;;0.0427445;0.045249;0.04024;2019-06-28_06-45-31;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;0189306f-8dbf-44e0-9e78-135a94eba128;;167;PLAT012_U4L19R11_167_RHZ_5162_6 pl_LAHAN_ACE_LAHAN_BDF_WW_Rep2_Rec_prel6;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
A;81.60672;2028.0;193.62047099999998;4279.0;;;8192.639761518554;4483977.0;804.878935;18830.0;2.0175404;47.2;524.6887375;12275.0;;;519.493493858922;284328.0;totale;2020-06-29_09-10-07;;0.0427445;0.045249;0.04024;2019-06-28_06-23-37;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19285\ROOT_v2017\mask_4\csv;01997b7c-873d-4018-bf42-774ed98f621c;;131;PLAT012_U4L20R1_131_RHZ_5682_6 pl_ORJAUNE_ACE_ORJAUNE_BDF_WW_Rep1_Rec_prel7;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19285;ROOT_v2017;rac
