spectre,azote
Spectrum00001,3.379919
Spectrum00002,3.069721
Spectrum00003,2.988438
Spectrum00004,2.871216
Spectrum00005,2.939028
Spectrum00006,2.783669
Spectrum00007,2.683395
Spectrum00008,2.861171
Spectrum00009,2.698556
Spectrum00010,3.16262
Spectrum00011,2.68313
Spectrum00012,2.884048
Spectrum00013,2.772279
Spectrum00014,3.093265
Spectrum00015,2.939886
Spectrum00016,2.945828
Spectrum00017,2.958936
Spectrum00018,3.196682
Spectrum00019,2.751856
Spectrum00020,2.954219
Spectrum00021,2.530483
Spectrum00022,2.94197
Spectrum00023,3.103672
Spectrum00024,3.096072
Spectrum00025,3.430742
Spectrum00026,3.381485
Spectrum00027,3.27593
Spectrum00028,3.154749
Spectrum00029,3.201497
Spectrum00030,3.176389
Spectrum00031,3.048733
Spectrum00032,2.949173
Spectrum00033,3.199449
Spectrum00034,3.344885
Spectrum00035,3.22183
Spectrum00036,2.96046
Spectrum00037,3.522202
Spectrum00038,3.009356
Spectrum00039,3.157337
Spectrum00040,3.11539
Spectrum00041,2.902571
Spectrum00042,3.087271
Spectrum00043,3.547197
Spectrum00044,3.433519
Spectrum00045,3.468213
Spectrum00046,3.346002
Spectrum00047,2.929455
Spectrum00048,3.049828
Spectrum00049,2.98992
Spectrum00051,3.000198
Spectrum00052,3.378875
Spectrum00053,2.732949
Spectrum00054,3.000171
Spectrum00055,3.61194
Spectrum00056,2.870331
Spectrum00057,2.949543
Spectrum00058,3.09849
Spectrum00059,2.967702
Spectrum00060,3.139289
Spectrum00061,3.016953
Spectrum00062,3.435327
Spectrum00063,3.229
Spectrum00064,3.137228
Spectrum00065,3.053472
Spectrum00067,2.943014
Spectrum00068,3.152287
Spectrum00069,2.939561
Spectrum00070,3.248821
Spectrum00071,2.875811
Spectrum00072,3.292755
Spectrum00073,3.011603
Spectrum00074,2.907963
Spectrum00076,3.012961
Spectrum00077,3.130938
Spectrum00078,3.145846
Spectrum00079,2.801584
Spectrum00080,3.09123
Spectrum00081,2.815282
Spectrum00082,2.918523
Spectrum00083,3.048093
Spectrum00084,3.035535
Spectrum00085,2.779301
Spectrum00086,2.824154
Spectrum00087,2.993603
Spectrum00088,2.766216
Spectrum00089,3.017421
Spectrum00090,2.903043
Spectrum00091,2.872708
Spectrum00092,3.243516
Spectrum00093,2.874558
Spectrum00094,3.087002
Spectrum00095,3.260695
Spectrum00096,2.996168
Spectrum00097,2.844646
Spectrum00098,3.073913
Spectrum00099,2.853442
Spectrum00100,3.036877
Spectrum00101,3.438264
Spectrum00102,2.624075
Spectrum00103,3.730801
Spectrum00104,2.759088
Spectrum00105,3.116362
Spectrum00106,2.92055
Spectrum00107,2.917331
Spectrum00108,2.713704
Spectrum00109,3.064643
Spectrum00110,3.251469
Spectrum00111,3.004724
Spectrum00112,2.994253
Spectrum00113,3.355813
Spectrum00115,2.944529
Spectrum00116,3.159857
Spectrum00117,2.91577
Spectrum00118,3.022758
Spectrum00119,3.267242
Spectrum00121,3.002977
Spectrum00122,3.109652
Spectrum00123,3.027082
Spectrum00124,2.931045
Spectrum00125,3.075011
Spectrum00127,2.97333
Spectrum00128,2.80145
Spectrum00129,3.105844
Spectrum00130,3.039212
Spectrum00131,2.962269
Spectrum00132,3.010257
Spectrum00133,2.838605
Spectrum00134,2.751151
Spectrum00135,2.577196
Spectrum00136,2.803471
Spectrum00137,2.964807
Spectrum00138,2.920521
Spectrum00139,2.891603
Spectrum00140,3.058453
Spectrum00141,2.551837
Spectrum00142,2.922893
Spectrum00143,2.519284
Spectrum00144,2.715938
Spectrum00145,2.973858
Spectrum00146,2.783412
Spectrum00147,3.086634
Spectrum00148,3.030969
Spectrum00149,2.963355
Spectrum00150,2.909539
Spectrum00151,2.790405
Spectrum00152,2.696696
Spectrum00153,2.738784
Spectrum00154,2.563528
Spectrum00155,2.612318
Spectrum00156,2.862282
Spectrum00157,3.168696
Spectrum00158,3.113694
Spectrum00159,3.100972
Spectrum00160,3.124458
Spectrum00161,3.108554
Spectrum00162,2.971712
Spectrum00163,2.729764
Spectrum00164,2.896681
Spectrum00165,3.107419
Spectrum00166,3.064337
Spectrum00167,3.08661
Spectrum00168,2.693316
Spectrum00169,2.861295
