spectre,rhyzotube ,comment
Spectrum00001,1,NA
Spectrum00002,1,NA
Spectrum00003,1,NA
Spectrum00004,1,NA
Spectrum00005,1,NA
Spectrum00006,1,NA
Spectrum00007,2,NA
Spectrum00008,2,NA
Spectrum00009,2,NA
Spectrum00010,2,NA
Spectrum00011,2,NA
Spectrum00012,2,NA
Spectrum00013,4,NA
Spectrum00014,4,NA
Spectrum00015,4,NA
Spectrum00016,4,NA
Spectrum00017,4,NA
Spectrum00018,4,NA
Spectrum00019,5,NA
Spectrum00020,5,NA
Spectrum00021,5,NA
Spectrum00022,5,NA
Spectrum00023,5,NA
Spectrum00024,5,NA
Spectrum00025,7,NA
Spectrum00026,7,NA
Spectrum00027,7,NA
Spectrum00028,7,NA
Spectrum00029,7,NA
Spectrum00030,7,NA
Spectrum00031,8,NA
Spectrum00032,8,NA
Spectrum00033,8,NA
Spectrum00034,8,NA
Spectrum00035,8,NA
Spectrum00036,8,NA
Spectrum00037,9,NA
Spectrum00038,9,NA
Spectrum00039,9,NA
Spectrum00040,9,NA
Spectrum00041,9,NA
Spectrum00042,9,NA
Spectrum00043,10,NA
Spectrum00044,10,NA
Spectrum00045,10,NA
Spectrum00046,10,NA
Spectrum00047,10,NA
Spectrum00048,10,NA
Spectrum00049,11,NA
Spectrum00050,11,NA
Spectrum00051,11,NA
Spectrum00052,11,NA
Spectrum00053,11,NA
Spectrum00054,11,NA
Spectrum00055,12,NA
Spectrum00056,12,NA
Spectrum00057,12,NA
Spectrum00058,12,NA
Spectrum00059,12,NA
Spectrum00060,12,NA
Spectrum00061,13,NA
Spectrum00062,13,NA
Spectrum00063,13,NA
Spectrum00064,13,NA
Spectrum00065,13,NA
Spectrum00066,13,NA
Spectrum00067,14,NA
Spectrum00068,14,NA
Spectrum00069,14,NA
Spectrum00070,14,NA
Spectrum00071,14,NA
Spectrum00072,14,NA
Spectrum00073,15,NA
Spectrum00074,15,NA
Spectrum00075,15,NA
Spectrum00076,15,NA
Spectrum00077,15,NA
Spectrum00078,15,NA
Spectrum00079,16,NA
Spectrum00080,16,NA
Spectrum00081,16,NA
Spectrum00082,16,NA
Spectrum00083,16,NA
Spectrum00084,16,NA
Spectrum00085,17,NA
Spectrum00086,17,NA
Spectrum00087,17,NA
Spectrum00088,17,NA
Spectrum00089,17,NA
Spectrum00090,17,NA
Spectrum00091,18,NA
Spectrum00092,18,NA
Spectrum00093,18,NA
Spectrum00094,18,NA
Spectrum00095,18,NA
Spectrum00096,18,NA
Spectrum00097,19,NA
Spectrum00098,19,NA
Spectrum00099,19,NA
Spectrum00100,19,NA
Spectrum00101,19,NA
Spectrum00102,19,NA
Spectrum00103,20,NA
Spectrum00104,20,NA
Spectrum00105,20,NA
Spectrum00106,20,NA
Spectrum00107,20,NA
Spectrum00108,20,NA
Spectrum00109,21,NA
Spectrum00110,21,NA
Spectrum00111,21,NA
Spectrum00112,21,NA
Spectrum00113,21,NA
Spectrum00114,21,NA
Spectrum00115,22,NA
Spectrum00116,22,NA
Spectrum00117,22,NA
Spectrum00118,22,NA
Spectrum00119,22,NA
Spectrum00120,22,NA
Spectrum00122,23,NA
Spectrum00123,23,NA
Spectrum00124,23,NA
Spectrum00125,23,NA
Spectrum00127,23,NA
Spectrum00128,23,NA
Spectrum00129,23,NA
Spectrum00130,23,NA
Spectrum00131,23,NA
Spectrum00132,23,NA
Spectrum00133,24,NA
Spectrum00134,24,NA
Spectrum00135,24,NA
Spectrum00136,24,NA
Spectrum00137,24,NA
Spectrum00138,24,NA
Spectrum00139,27,PB
Spectrum00140,27,PB
Spectrum00141,27,PB
Spectrum00142,27,PB
Spectrum00143,27,PB
Spectrum00144,27,PB
Spectrum00145,28,NA
Spectrum00146,28,NA
Spectrum00147,28,NA
Spectrum00148,28,NA
Spectrum00149,28,NA
Spectrum00150,28,NA
Spectrum00151,29,NA
Spectrum00152,29,NA
Spectrum00153,29,NA
Spectrum00154,29,NA
Spectrum00155,29,NA
Spectrum00156,29,NA
Spectrum00157,30,NA
Spectrum00159,30,NA
Spectrum00160,30,NA
Spectrum00161,30,NA
Spectrum00162,30,NA
Spectrum00163,30,NA
Spectrum00164,31,NA
Spectrum00165,31,NA
Spectrum00166,31,NA
Spectrum00167,31,NA
Spectrum00168,31,NA
Spectrum00169,31,NA
Spectrum00170,32,NA
Spectrum00171,32,NA
Spectrum00172,32,NA
Spectrum00173,32,NA
Spectrum00174,32,NA
Spectrum00175,32,NA
Spectrum00176,33,NA
Spectrum00177,33,NA
Spectrum00178,33,NA
Spectrum00179,33,NA
Spectrum00180,33,NA
Spectrum00181,33,NA
Spectrum00182,34,NA
Spectrum00183,34,NA
Spectrum00184,34,NA
Spectrum00185,34,NA
Spectrum00186,34,NA
Spectrum00187,34,NA
Spectrum00188,35,NA
Spectrum00189,35,NA
Spectrum00190,35,NA
Spectrum00191,35,NA
Spectrum00192,35,NA
Spectrum00193,35,NA
Spectrum00194,37,NA
Spectrum00195,37,NA
Spectrum00196,37,NA
Spectrum00197,37,NA
Spectrum00198,37,NA
Spectrum00199,37,NA
Spectrum00200,38,NA
Spectrum00201,38,NA
Spectrum00202,38,NA
Spectrum00203,38,NA
Spectrum00204,38,NA
Spectrum00205,38,NA
Spectrum00206,39,NA
Spectrum00207,39,NA
Spectrum00208,39,NA
Spectrum00209,39,NA
Spectrum00210,39,NA
Spectrum00211,39,NA
Spectrum00212,40,NA
Spectrum00213,40,NA
Spectrum00214,40,NA
Spectrum00215,40,NA
Spectrum00216,40,NA
Spectrum00217,40,NA
Spectrum00218,41,NA
Spectrum00219,41,NA
Spectrum00220,41,NA
Spectrum00221,41,NA
Spectrum00222,41,NA
Spectrum00223,41,NA
Spectrum00224,42,NA
Spectrum00225,42,NA
Spectrum00226,42,NA
Spectrum00227,42,NA
Spectrum00228,42,NA
Spectrum00229,42,NA
Spectrum00230,43,NA
Spectrum00231,43,NA
Spectrum00232,43,NA
Spectrum00233,43,NA
Spectrum00234,43,NA
Spectrum00235,43,NA
Spectrum00236,44,NA
Spectrum00237,44,NA
Spectrum00238,44,NA
Spectrum00239,44,NA
Spectrum00240,44,NA
Spectrum00241,44,NA
Spectrum00242,46,NA
Spectrum00243,46,NA
Spectrum00244,46,NA
Spectrum00245,46,NA
Spectrum00246,46,NA
Spectrum00247,46,NA
Spectrum00248,47,NA
Spectrum00249,47,NA
Spectrum00250,47,NA
Spectrum00251,47,NA
Spectrum00252,47,NA
Spectrum00253,47,NA
Spectrum00254,48,NA
Spectrum00255,48,NA
Spectrum00256,48,NA
Spectrum00257,48,NA
Spectrum00258,48,NA
Spectrum00259,48,NA
Spectrum00260,49,NA
Spectrum00261,49,NA
Spectrum00262,49,NA
Spectrum00263,49,NA
Spectrum00264,49,NA
Spectrum00265,49,NA
Spectrum00266,50,NA
Spectrum00267,50,NA
Spectrum00268,50,NA
Spectrum00269,50,NA
Spectrum00270,50,NA
Spectrum00271,50,NA
Spectrum00272,53,NA
Spectrum00273,53,NA
Spectrum00274,53,NA
Spectrum00275,53,NA
Spectrum00276,53,NA
Spectrum00277,53,NA
Spectrum00278,55,NA
Spectrum00279,55,NA
Spectrum00280,55,NA
Spectrum00281,55,NA
Spectrum00282,55,NA
Spectrum00283,55,NA
Spectrum00284,56,NA
Spectrum00285,56,NA
Spectrum00286,56,NA
Spectrum00287,56,NA
Spectrum00288,56,NA
Spectrum00289,56,NA
Spectrum00290,57,NA
Spectrum00291,57,NA
Spectrum00292,57,NA
Spectrum00293,57,NA
Spectrum00294,57,NA
Spectrum00295,57,NA
Spectrum00296,58,NA
Spectrum00297,58,NA
Spectrum00298,58,NA
Spectrum00299,58,NA
Spectrum00300,58,NA
Spectrum00302,58,NA
Spectrum00303,59,NA
Spectrum00304,59,NA
Spectrum00305,59,NA
Spectrum00306,59,NA
Spectrum00307,59,NA
Spectrum00308,59,NA
Spectrum00309,60,NA
Spectrum00310,60,NA
Spectrum00311,60,NA
Spectrum00312,60,NA
Spectrum00313,60,NA
Spectrum00314,60,NA
Spectrum00315,61,NA
Spectrum00316,61,NA
Spectrum00317,61,NA
Spectrum00318,61,NA
Spectrum00319,61,NA
Spectrum00320,61,NA
Spectrum00321,62,NA
Spectrum00322,62,NA
Spectrum00323,62,NA
Spectrum00324,62,NA
Spectrum00325,62,NA
Spectrum00326,62,NA
Spectrum00327,63,NA
Spectrum00328,63,NA
Spectrum00329,63,NA
Spectrum00330,63,NA
Spectrum00331,63,NA
Spectrum00332,63,NA
Spectrum00333,64,NA
Spectrum00334,64,NA
Spectrum00335,64,NA
Spectrum00336,64,NA
Spectrum00337,64,NA
Spectrum00338,64,NA
Spectrum00339,65,NA
Spectrum00340,65,NA
Spectrum00341,65,NA
Spectrum00342,65,NA
Spectrum00343,65,NA
Spectrum00344,65,NA
Spectrum00345,66,NA
Spectrum00346,66,NA
Spectrum00347,66,NA
Spectrum00348,66,NA
Spectrum00349,66,NA
Spectrum00350,66,NA
Spectrum00351,67,NA
Spectrum00352,67,NA
Spectrum00353,67,NA
Spectrum00354,67,NA
Spectrum00355,67,NA
Spectrum00356,67,NA
Spectrum00357,68,NA
Spectrum00358,68,NA
Spectrum00359,68,NA
Spectrum00360,68,NA
Spectrum00361,68,NA
Spectrum00362,68,NA
Spectrum00363,69,NA
Spectrum00364,69,NA
Spectrum00365,69,NA
Spectrum00366,69,NA
Spectrum00367,69,NA
Spectrum00368,69,NA
Spectrum00369,70,NA
Spectrum00370,70,NA
Spectrum00371,70,NA
Spectrum00372,70,NA
Spectrum00373,70,NA
Spectrum00374,70,NA
Spectrum00375,71,NA
Spectrum00376,71,NA
Spectrum00377,71,NA
Spectrum00378,71,NA
Spectrum00379,71,NA
Spectrum00380,71,NA
Spectrum00381,72,NA
Spectrum00382,72,NA
Spectrum00383,72,NA
Spectrum00384,72,NA
Spectrum00385,72,NA
Spectrum00386,72,NA
Spectrum00387,73,NA
Spectrum00388,73,NA
Spectrum00389,73,NA
Spectrum00390,73,NA
Spectrum00391,73,NA
Spectrum00392,73,NA
